İLÇE ADI,MAHALLE ADI,SES,SES SKORU
ADALAR,BURGAZADA,B,62.5
ADALAR,HEYBELİADA,B,62.5
ADALAR,KINALIADA,C,37.5
ADALAR,MADEN,B,62.5
ADALAR,NİZAM,B+,75
ARNAVUTKÖY,ADNAN MENDERES,E,12.5
ARNAVUTKÖY,ANADOLU,E,12.5
ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,D,25
ARNAVUTKÖY,ATATÜRK,E,12.5
ARNAVUTKÖY,BAKLALI,E,12.5
ARNAVUTKÖY,BALABAN,E,12.5
ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,D,25
ARNAVUTKÖY,BOLLUCA,D,25
ARNAVUTKÖY,BOYALIK,E,12.5
ARNAVUTKÖY,ÇİLİNGİR,E,12.5
ARNAVUTKÖY,DELİKLİKAYA,E,12.5
ARNAVUTKÖY,DURSUNKÖY,E,12.5
ARNAVUTKÖY,DURUSU,E,12.5
ARNAVUTKÖY,FATİH,E,12.5
ARNAVUTKÖY,HACIMAŞLI,E,12.5
ARNAVUTKÖY,HADIMKÖY,D,25
ARNAVUTKÖY,HARAÇÇI,E,12.5
ARNAVUTKÖY,HASTANE,D,25
ARNAVUTKÖY,HİCRET,E,12.5
ARNAVUTKÖY,İMRAHOR,E,12.5
ARNAVUTKÖY,İSLAMBEY,E,12.5
ARNAVUTKÖY,KARABURUN,E,12.5
ARNAVUTKÖY,KARLIBAYIR,E,12.5
ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK,E,12.5
ARNAVUTKÖY,MAVİGÖL,C,37.5
ARNAVUTKÖY,MEHMET AKİF ERSOY,D,25
ARNAVUTKÖY,MUSTAFA KEMAL PAŞA,D,25
ARNAVUTKÖY,NENEHATUN,E,12.5
ARNAVUTKÖY,ÖMERLİ,C,37.5
ARNAVUTKÖY,SAZLIBOSNA,E,12.5
ARNAVUTKÖY,TAŞOLUK,E,12.5
ARNAVUTKÖY,TAYAKADIN,E,12.5
ARNAVUTKÖY,TERKOS,E,12.5
ARNAVUTKÖY,YASSIÖREN,E,12.5
